filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,100,8,1003,0.0027,0.0039,0.0039
counting_cuckoo,500,4,1003,0.0031,0.0042,0.0042
cuckoo,100,8,1003,0.0027,0.0039,0.0039
cuckoo,500,4,1003,0.0026,0.0035,0.0035
counting_cuckoo,100,8,1023,0.0033,0.0038,0.0038
counting_cuckoo,500,4,1023,0.0026,0.0039,0.0039
cuckoo,100,8,1023,0.0035,0.0342,0.0342
cuckoo,500,4,1023,0.003,0.0037,0.0037
counting_cuckoo,100,8,1043,0.0027,0.0042,0.0042
counting_cuckoo,500,4,1043,0.0031,0.0422,0.0422
cuckoo,100,8,1043,0.0026,0.0039,0.0039
cuckoo,500,4,1043,0.0027,0.0038,0.0038
counting_cuckoo,100,8,1063,0.0026,0.0043,0.0043
counting_cuckoo,500,4,1063,0.0026,0.0039,0.0039
cuckoo,100,8,1063,0.0037,0.0056,0.0056
cuckoo,500,4,1063,0.0027,0.0039,0.0039
counting_cuckoo,100,8,1083,0.0029,0.0074,0.0074
counting_cuckoo,500,4,1083,0.0031,0.004,0.004
cuckoo,100,8,1083,0.0032,0.005,0.005
cuckoo,500,4,1083,0.0028,0.0042,0.0042
counting_cuckoo,100,8,1103,0.0026,0.0038,0.0038
counting_cuckoo,500,4,1103,0.0027,0.0039,0.0039
cuckoo,100,8,1103,0.0028,0.0039,0.0039
cuckoo,500,4,1103,0.0028,0.0045,0.0045
counting_cuckoo,100,8,1123,0.0028,0.0043,0.0043
counting_cuckoo,500,4,1123,0.003,0.0044,0.0044
cuckoo,100,8,1123,0.0027,0.0037,0.0037
cuckoo,500,4,1123,0.0026,0.0039,0.0039
counting_cuckoo,100,8,1143,0.0027,0.0043,0.0043
counting_cuckoo,500,4,1143,0.0029,0.0041,0.0041
cuckoo,100,8,1143,0.0028,0.0038,0.0038
cuckoo,500,4,1143,0.0026,0.0037,0.0037
counting_cuckoo,100,8,1163,0.0029,0.0041,0.0041
counting_cuckoo,500,4,1163,0.0026,0.0038,0.0038
cuckoo,100,8,1163,0.0028,0.0038,0.0038
cuckoo,500,4,1163,0.0026,0.004,0.004
counting_cuckoo,100,8,1183,0.0026,0.0037,0.0037
counting_cuckoo,500,4,1183,0.0029,0.0039,0.0039
cuckoo,100,8,1183,0.0026,0.0042,0.0042
cuckoo,500,4,1183,0.0027,0.0041,0.0041
counting_cuckoo,100,8,1203,0.0032,0.0044,0.0044
counting_cuckoo,500,4,1203,0.0027,0.004,0.004
cuckoo,100,8,1203,0.0027,0.0036,0.0036
cuckoo,500,4,1203,0.0026,0.0038,0.0038
counting_cuckoo,100,8,1223,0.0027,0.0036,0.0036
counting_cuckoo,500,4,1223,0.0031,0.0036,0.0036
cuckoo,100,8,1223,0.0026,0.0036,0.0036
cuckoo,500,4,1223,0.0064,0.0038,0.0038
counting_cuckoo,100,8,1243,0.0027,0.0042,0.0042
counting_cuckoo,500,4,1243,0.0027,0.004,0.004
cuckoo,100,8,1243,0.0027,0.004,0.004
cuckoo,500,4,1243,0.0025,0.0037,0.0037
counting_cuckoo,100,8,1263,0.0028,0.004,0.004
counting_cuckoo,500,4,1263,0.0028,0.004,0.004
cuckoo,100,8,1263,0.0026,0.0036,0.0036
cuckoo,500,4,1263,0.0028,0.0047,0.0047
counting_cuckoo,100,8,1283,0.0028,0.0038,0.0038
counting_cuckoo,500,4,1283,0.003,0.0041,0.0041
cuckoo,100,8,1283,0.0029,0.0038,0.0038
cuckoo,500,4,1283,0.0028,0.0036,0.0036
counting_cuckoo,100,8,1303,0.0028,0.0037,0.0037
counting_cuckoo,500,4,1303,0.0027,0.0041,0.0041
cuckoo,100,8,1303,0.0026,0.0037,0.0037
cuckoo,500,4,1303,0.0041,0.0039,0.0039
counting_cuckoo,100,8,1323,0.0036,0.0548,0.0548
counting_cuckoo,500,4,1323,0.003,0.0039,0.0039
cuckoo,100,8,1323,0.0032,0.0036,0.0036
cuckoo,500,4,1323,0.0028,0.0038,0.0038
counting_cuckoo,100,8,1343,0.0028,0.0038,0.0038
counting_cuckoo,500,4,1343,0.0026,0.0044,0.0044
cuckoo,100,8,1343,0.0028,0.0039,0.0039
cuckoo,500,4,1343,0.0026,0.0035,0.0035
counting_cuckoo,100,8,1363,0.0028,0.004,0.004
